r_id,p_id,rating,report_date,comment,student_year,student_semester,student_workterm_number
299,22,3.3,2024-04-05,NULL,NULL,NULL,5
300,14,3.8,2024-04-05,NULL,NULL,NULL,6
301,30,3.5,2024-04-05,NULL,NULL,NULL,NULL
302,11,2.9,2024-04-05,NULL,NULL,NULL,NULL
303,19,2.1,2024-04-05,NULL,NULL,NULL,NULL
304,14,2.1,2024-04-05,NULL,NULL,NULL,6
305,14,2.4,2024-04-05,NULL,NULL,NULL,NULL
306,8,2.1,2024-04-05,NULL,NULL,NULL,NULL
307,13,3.9,2024-04-05,NULL,NULL,NULL,5
308,4,2.5,2024-04-05,NULL,NULL,NULL,4
309,25,3.2,2024-04-05,NULL,NULL,NULL,NULL
310,5,3.7,2024-04-05,NULL,NULL,NULL,NULL
311,21,4.5,2024-04-05,NULL,NULL,NULL,3
312,5,4.6,2024-04-05,NULL,NULL,NULL,NULL
313,15,3.9,2024-04-05,NULL,NULL,NULL,5
314,19,3.4,2024-04-05,NULL,NULL,NULL,3
315,5,3.8,2024-04-05,NULL,NULL,NULL,2
316,18,2.1,2024-04-05,NULL,NULL,NULL,3
317,20,3.7,2024-04-05,NULL,NULL,NULL,4
318,29,2.6,2024-04-05,NULL,NULL,NULL,5
319,4,4.7,2024-04-05,NULL,NULL,NULL,2
320,24,4.9,2024-04-05,NULL,NULL,NULL,5
321,4,3.3,2024-04-05,NULL,NULL,NULL,NULL
322,13,2.2,2024-04-05,NULL,NULL,NULL,4
323,16,2.7,2024-04-05,NULL,NULL,NULL,NULL
324,5,3.6,2024-04-05,NULL,NULL,NULL,1
325,6,4.7,2024-04-05,NULL,NULL,NULL,2
326,18,4.2,2024-04-05,NULL,NULL,NULL,1
327,17,3.3,2024-04-05,NULL,NULL,NULL,2
328,1,3.4,2024-04-05,NULL,NULL,NULL,2
329,7,2.6,2024-04-05,NULL,NULL,NULL,3
330,20,3.4,2024-04-05,NULL,NULL,NULL,NULL
331,22,4.9,2024-04-05,NULL,NULL,NULL,3
332,7,4.6,2024-04-05,NULL,NULL,NULL,4
333,7,4.6,2024-04-05,NULL,NULL,NULL,NULL
334,21,4.8,2024-04-05,NULL,NULL,NULL,NULL
335,13,4.7,2024-04-05,NULL,NULL,NULL,2
336,3,3.9,2024-04-05,NULL,NULL,NULL,2
337,3,3,2024-04-05,NULL,NULL,NULL,4
338,13,3.4,2024-04-05,NULL,NULL,NULL,5
339,1,2.3,2024-04-05,NULL,NULL,NULL,4
340,8,3.4,2024-04-05,NULL,NULL,NULL,NULL
341,3,2.3,2024-04-05,NULL,NULL,NULL,2
342,14,3.2,2024-04-05,NULL,NULL,NULL,NULL
343,19,5,2024-04-05,NULL,NULL,NULL,1
344,28,3.1,2024-04-05,NULL,NULL,NULL,1
345,25,3.6,2024-04-05,NULL,NULL,NULL,3
346,8,4.7,2024-04-05,NULL,NULL,NULL,4
347,21,3.7,2024-04-05,NULL,NULL,NULL,1
348,21,3.7,2024-04-05,NULL,NULL,NULL,1
349,15,2.3,2024-04-05,NULL,NULL,NULL,3
350,30,3.7,2024-04-05,NULL,NULL,NULL,NULL
351,22,3.3,2024-04-05,NULL,NULL,NULL,4
352,19,3.9,2024-04-05,NULL,NULL,NULL,2
353,17,2.6,2024-04-05,NULL,NULL,NULL,6
354,18,3.3,2024-04-05,NULL,NULL,NULL,3
355,11,4.3,2024-04-05,NULL,NULL,NULL,NULL
356,1,4.6,2024-04-05,NULL,NULL,NULL,1
357,14,2.4,2024-04-05,NULL,NULL,NULL,3
358,28,4.3,2024-04-05,NULL,NULL,NULL,NULL
359,4,3.7,2024-04-05,NULL,NULL,NULL,2
360,27,2.6,2024-04-05,NULL,NULL,NULL,3
361,5,3.4,2024-04-05,NULL,NULL,NULL,4
362,23,4.4,2024-04-05,NULL,NULL,NULL,5
363,27,2.4,2024-04-05,NULL,NULL,NULL,4
364,15,4.1,2024-04-05,NULL,NULL,NULL,3
365,20,2.8,2024-04-05,NULL,NULL,NULL,5
366,22,3.3,2024-04-05,NULL,NULL,NULL,2
367,2,4.8,2024-04-05,NULL,NULL,NULL,1
368,18,4.2,2024-04-05,NULL,NULL,NULL,1
369,11,2.3,2024-04-05,NULL,NULL,NULL,5
370,19,2.2,2024-04-05,NULL,NULL,NULL,NULL
371,17,3.3,2024-04-05,NULL,NULL,NULL,3
372,28,2.9,2024-04-05,NULL,NULL,NULL,4
373,26,3.5,2024-04-05,NULL,NULL,NULL,2
374,11,4.1,2024-04-05,NULL,NULL,NULL,4
375,2,3.5,2024-04-05,NULL,NULL,NULL,4
376,23,3.9,2024-04-05,NULL,NULL,NULL,NULL
377,20,4.3,2024-04-05,NULL,NULL,NULL,NULL
378,14,3.5,2024-04-05,NULL,NULL,NULL,NULL
150,22,3.2,2024-04-05,NULL,NULL,NULL,5
151,29,4.3,2024-04-05,NULL,NULL,NULL,3
152,7,4.9,2024-04-05,NULL,NULL,NULL,1
153,13,4.4,2024-04-05,NULL,NULL,NULL,2
154,22,4.3,2024-04-05,NULL,NULL,NULL,3
155,8,3.3,2024-04-05,NULL,NULL,NULL,4
156,22,3.6,2024-04-05,NULL,NULL,NULL,NULL
157,28,3.9,2024-04-05,NULL,NULL,NULL,3
158,7,4.1,2024-04-05,NULL,NULL,NULL,NULL
159,23,2.6,2024-04-05,NULL,NULL,NULL,4
160,15,2.1,2024-04-05,NULL,NULL,NULL,3
161,2,4.7,2024-04-05,NULL,NULL,NULL,5
162,9,4.5,2024-04-05,NULL,NULL,NULL,NULL
163,27,3.8,2024-04-05,NULL,NULL,NULL,NULL
164,15,2.5,2024-04-05,NULL,NULL,NULL,NULL
165,12,3,2024-04-05,NULL,NULL,NULL,3
166,30,4,2024-04-05,NULL,NULL,NULL,4
167,17,4.5,2024-04-05,NULL,NULL,NULL,5
168,29,3.4,2024-04-05,NULL,NULL,NULL,NULL
169,15,2.9,2024-04-05,NULL,NULL,NULL,5
170,25,5,2024-04-05,NULL,NULL,NULL,3
171,6,2.9,2024-04-05,NULL,NULL,NULL,3
172,19,3.5,2024-04-05,NULL,NULL,NULL,5
173,28,2.9,2024-04-05,NULL,NULL,NULL,2
174,22,2.8,2024-04-05,NULL,NULL,NULL,4
175,26,3.4,2024-04-05,NULL,NULL,NULL,1
176,3,3.4,2024-04-05,NULL,NULL,NULL,2
177,4,3.8,2024-04-05,NULL,NULL,NULL,5
178,6,4.1,2024-04-05,NULL,NULL,NULL,NULL
179,25,3.1,2024-04-05,NULL,NULL,NULL,4
180,6,2.3,2024-04-05,NULL,NULL,NULL,6
181,5,2.3,2024-04-05,NULL,NULL,NULL,NULL
182,14,2.6,2024-04-05,NULL,NULL,NULL,NULL
183,2,3.5,2024-04-05,NULL,NULL,NULL,3
184,13,3.8,2024-04-05,NULL,NULL,NULL,6
185,26,3.8,2024-04-05,NULL,NULL,NULL,1
186,18,2.7,2024-04-05,NULL,NULL,NULL,2
187,13,4.3,2024-04-05,NULL,NULL,NULL,3
188,17,3,2024-04-05,NULL,NULL,NULL,NULL
189,8,2.5,2024-04-05,NULL,NULL,NULL,NULL
190,11,4.7,2024-04-05,NULL,NULL,NULL,NULL
191,20,3.2,2024-04-05,NULL,NULL,NULL,NULL
192,19,2.7,2024-04-05,NULL,NULL,NULL,3
193,12,4.4,2024-04-05,NULL,NULL,NULL,3
194,8,3.3,2024-04-05,NULL,NULL,NULL,2
195,11,4.6,2024-04-05,NULL,NULL,NULL,1
196,5,2.9,2024-04-05,NULL,NULL,NULL,NULL
197,25,4.6,2024-04-05,NULL,NULL,NULL,NULL
198,26,3.6,2024-04-05,NULL,NULL,NULL,NULL
199,12,3.6,2024-04-05,NULL,NULL,NULL,1
200,28,4.9,2024-04-05,NULL,NULL,NULL,4
201,29,3.1,2024-04-05,NULL,NULL,NULL,2
202,8,2.7,2024-04-05,NULL,NULL,NULL,4
203,9,3.2,2024-04-05,NULL,NULL,NULL,4
204,17,4.4,2024-04-05,NULL,NULL,NULL,3
205,29,3.1,2024-04-05,NULL,NULL,NULL,4
206,11,3.7,2024-04-05,NULL,NULL,NULL,2
207,17,4.2,2024-04-05,NULL,NULL,NULL,4
208,5,2.9,2024-04-05,NULL,NULL,NULL,6
209,21,3.7,2024-04-05,NULL,NULL,NULL,3
210,9,3.1,2024-04-05,NULL,NULL,NULL,4
211,10,4.1,2024-04-05,NULL,NULL,NULL,2
212,7,2.8,2024-04-05,NULL,NULL,NULL,2
213,24,3,2024-04-05,NULL,NULL,NULL,5
214,9,3.6,2024-04-05,NULL,NULL,NULL,1
215,3,4.6,2024-04-05,NULL,NULL,NULL,2
216,14,3.6,2024-04-05,NULL,NULL,NULL,1
217,30,4.7,2024-04-05,NULL,NULL,NULL,NULL
218,14,3.5,2024-04-05,NULL,NULL,NULL,3
219,16,4.7,2024-04-05,NULL,NULL,NULL,NULL
220,6,4.4,2024-04-05,NULL,NULL,NULL,3
221,19,4.4,2024-04-05,NULL,NULL,NULL,NULL
222,26,2.1,2024-04-05,NULL,NULL,NULL,NULL
223,8,2.3,2024-04-05,NULL,NULL,NULL,NULL
224,25,3.6,2024-04-05,NULL,NULL,NULL,NULL
225,8,4.8,2024-04-05,NULL,NULL,NULL,3
226,16,2.9,2024-04-05,NULL,NULL,NULL,NULL
227,19,2.6,2024-04-05,NULL,NULL,NULL,2
228,9,2.1,2024-04-05,NULL,NULL,NULL,NULL
229,3,2.1,2024-04-05,NULL,NULL,NULL,2
230,27,3.9,2024-04-05,NULL,NULL,NULL,3
231,30,4.3,2024-04-05,NULL,NULL,NULL,4
232,23,4.2,2024-04-05,NULL,NULL,NULL,2
233,23,3.8,2024-04-05,NULL,NULL,NULL,5
234,5,4.2,2024-04-05,NULL,NULL,NULL,3
235,26,4.3,2024-04-05,NULL,NULL,NULL,NULL
236,18,4.2,2024-04-05,NULL,NULL,NULL,NULL
237,15,4.4,2024-04-05,NULL,NULL,NULL,3
238,11,4.6,2024-04-05,NULL,NULL,NULL,1
239,26,3.2,2024-04-05,NULL,NULL,NULL,2
240,12,2.8,2024-04-05,NULL,NULL,NULL,NULL
241,29,3,2024-04-05,NULL,NULL,NULL,NULL
242,11,2,2024-04-05,NULL,NULL,NULL,1
243,25,2.6,2024-04-05,NULL,NULL,NULL,2
244,4,3.2,2024-04-05,NULL,NULL,NULL,4
245,6,2.7,2024-04-05,NULL,NULL,NULL,3
246,11,2.2,2024-04-05,NULL,NULL,NULL,3
247,3,2.3,2024-04-05,NULL,NULL,NULL,NULL
248,16,3.4,2024-04-05,NULL,NULL,NULL,NULL
249,25,2.9,2024-04-05,NULL,NULL,NULL,NULL
250,2,4.5,2024-04-05,NULL,NULL,NULL,6
251,22,3.2,2024-04-05,NULL,NULL,NULL,2
252,21,4.3,2024-04-05,NULL,NULL,NULL,2
253,21,3,2024-04-05,NULL,NULL,NULL,2
254,4,2.8,2024-04-05,NULL,NULL,NULL,3
255,2,2.9,2024-04-05,NULL,NULL,NULL,NULL
256,4,3.8,2024-04-05,NULL,NULL,NULL,2
257,21,2.7,2024-04-05,NULL,NULL,NULL,1
258,25,3.5,2024-04-05,NULL,NULL,NULL,5
259,23,4.3,2024-04-05,NULL,NULL,NULL,NULL
260,11,4.2,2024-04-05,NULL,NULL,NULL,6
261,29,4.1,2024-04-05,NULL,NULL,NULL,3
262,1,2.1,2024-04-05,NULL,NULL,NULL,6
263,9,2,2024-04-05,NULL,NULL,NULL,3
264,29,2.2,2024-04-05,NULL,NULL,NULL,NULL
265,4,2.7,2024-04-05,NULL,NULL,NULL,1
266,25,4.9,2024-04-05,NULL,NULL,NULL,3
267,17,3.1,2024-04-05,NULL,NULL,NULL,6
268,5,3.7,2024-04-05,NULL,NULL,NULL,NULL
269,20,4.2,2024-04-05,NULL,NULL,NULL,NULL
270,22,4.7,2024-04-05,NULL,NULL,NULL,NULL
271,30,3.9,2024-04-05,NULL,NULL,NULL,1
272,9,3.6,2024-04-05,NULL,NULL,NULL,2
273,22,4.5,2024-04-05,NULL,NULL,NULL,4
274,11,2.3,2024-04-05,NULL,NULL,NULL,6
275,19,4.9,2024-04-05,NULL,NULL,NULL,NULL
276,15,3.3,2024-04-05,NULL,NULL,NULL,NULL
277,14,2.3,2024-04-05,NULL,NULL,NULL,4
278,4,3.5,2024-04-05,NULL,NULL,NULL,6
279,14,4.4,2024-04-05,NULL,NULL,NULL,NULL
280,16,3.4,2024-04-05,NULL,NULL,NULL,NULL
281,29,3.8,2024-04-05,NULL,NULL,NULL,NULL
282,11,4.7,2024-04-05,NULL,NULL,NULL,NULL
283,12,3.8,2024-04-05,NULL,NULL,NULL,3
284,26,3.2,2024-04-05,NULL,NULL,NULL,1
285,25,2.2,2024-04-05,NULL,NULL,NULL,5
286,5,3.8,2024-04-05,NULL,NULL,NULL,6
287,24,2.2,2024-04-05,NULL,NULL,NULL,2
288,17,4.8,2024-04-05,NULL,NULL,NULL,NULL
289,4,4.2,2024-04-05,NULL,NULL,NULL,1
290,25,2.8,2024-04-05,NULL,NULL,NULL,NULL
291,28,2.9,2024-04-05,NULL,NULL,NULL,2
292,14,3.4,2024-04-05,NULL,NULL,NULL,4
293,23,4.8,2024-04-05,NULL,NULL,NULL,NULL
294,18,2.8,2024-04-05,NULL,NULL,NULL,2
295,14,3.9,2024-04-05,NULL,NULL,NULL,NULL
296,14,3.2,2024-04-05,NULL,NULL,NULL,2
297,27,2.1,2024-04-05,NULL,NULL,NULL,3
298,27,4.3,2024-04-05,NULL,NULL,NULL,4
1,28,2.3,2024-04-05,NULL,NULL,NULL,5
2,7,2.9,2024-04-05,NULL,NULL,NULL,NULL
3,25,4.7,2024-04-05,NULL,NULL,NULL,1
4,6,3,2024-04-05,NULL,NULL,NULL,NULL
5,27,3,2024-04-05,NULL,NULL,NULL,2
6,30,3.5,2024-04-05,NULL,NULL,NULL,2
7,26,3,2024-04-05,NULL,NULL,NULL,NULL
8,27,4.7,2024-04-05,NULL,NULL,NULL,2
9,29,3.3,2024-04-05,NULL,NULL,NULL,3
10,21,3.2,2024-04-05,NULL,NULL,NULL,2
11,5,4,2024-04-05,NULL,NULL,NULL,4
12,25,2,2024-04-05,NULL,NULL,NULL,5
13,14,3.9,2024-04-05,NULL,NULL,NULL,4
14,7,2.4,2024-04-05,NULL,NULL,NULL,4
15,17,3.6,2024-04-05,NULL,NULL,NULL,4
16,7,4.5,2024-04-05,NULL,NULL,NULL,NULL
17,24,4.9,2024-04-05,NULL,NULL,NULL,NULL
18,5,2.9,2024-04-05,NULL,NULL,NULL,5
19,8,4.4,2024-04-05,NULL,NULL,NULL,NULL
20,29,2,2024-04-05,NULL,NULL,NULL,NULL
21,14,3,2024-04-05,NULL,NULL,NULL,NULL
22,23,2.2,2024-04-05,NULL,NULL,NULL,2
23,29,2.2,2024-04-05,NULL,NULL,NULL,NULL
24,5,4.6,2024-04-05,NULL,NULL,NULL,NULL
25,26,2.8,2024-04-05,NULL,NULL,NULL,5
26,18,4.3,2024-04-05,NULL,NULL,NULL,6
27,26,2.1,2024-04-05,NULL,NULL,NULL,NULL
28,8,4,2024-04-05,NULL,NULL,NULL,2
29,23,3,2024-04-05,NULL,NULL,NULL,NULL
30,20,3.3,2024-04-05,NULL,NULL,NULL,4
31,18,4.3,2024-04-05,NULL,NULL,NULL,3
32,18,4.1,2024-04-05,NULL,NULL,NULL,5
33,25,4.6,2024-04-05,NULL,NULL,NULL,3
34,28,2.2,2024-04-05,NULL,NULL,NULL,3
35,23,3.9,2024-04-05,NULL,NULL,NULL,1
36,10,4.3,2024-04-05,NULL,NULL,NULL,NULL
37,16,2.1,2024-04-05,NULL,NULL,NULL,NULL
38,19,4.2,2024-04-05,NULL,NULL,NULL,1
39,4,3.8,2024-04-05,NULL,NULL,NULL,3
40,9,4.1,2024-04-05,NULL,NULL,NULL,NULL
41,7,3.4,2024-04-05,NULL,NULL,NULL,NULL
42,6,3.7,2024-04-05,NULL,NULL,NULL,1
43,9,2.1,2024-04-05,NULL,NULL,NULL,5
44,22,4.5,2024-04-05,NULL,NULL,NULL,NULL
45,17,4.7,2024-04-05,NULL,NULL,NULL,6
46,28,2.1,2024-04-05,NULL,NULL,NULL,4
47,5,3.7,2024-04-05,NULL,NULL,NULL,1
48,29,2,2024-04-05,NULL,NULL,NULL,NULL
49,18,3.3,2024-04-05,NULL,NULL,NULL,NULL
50,17,3,2024-04-05,NULL,NULL,NULL,4
51,9,5,2024-04-05,NULL,NULL,NULL,2
52,4,2.4,2024-04-05,NULL,NULL,NULL,NULL
53,2,3.8,2024-04-05,NULL,NULL,NULL,3
54,25,2.5,2024-04-05,NULL,NULL,NULL,NULL
55,27,2.4,2024-04-05,NULL,NULL,NULL,5
56,29,2.3,2024-04-05,NULL,NULL,NULL,NULL
57,11,2.1,2024-04-05,NULL,NULL,NULL,NULL
58,19,3.9,2024-04-05,NULL,NULL,NULL,NULL
59,11,4.4,2024-04-05,NULL,NULL,NULL,NULL
60,26,2.7,2024-04-05,NULL,NULL,NULL,6
61,23,2.6,2024-04-05,NULL,NULL,NULL,NULL
62,20,2.5,2024-04-05,NULL,NULL,NULL,4
63,18,4.3,2024-04-05,NULL,NULL,NULL,6
64,11,4.3,2024-04-05,NULL,NULL,NULL,NULL
65,29,2.3,2024-04-05,NULL,NULL,NULL,5
66,18,3.4,2024-04-05,NULL,NULL,NULL,4
67,5,4.2,2024-04-05,NULL,NULL,NULL,2
68,9,3.5,2024-04-05,NULL,NULL,NULL,NULL
69,9,4.2,2024-04-05,NULL,NULL,NULL,3
70,7,2.8,2024-04-05,NULL,NULL,NULL,6
71,27,4.4,2024-04-05,NULL,NULL,NULL,4
72,20,2.1,2024-04-05,NULL,NULL,NULL,5
73,9,4.7,2024-04-05,NULL,NULL,NULL,4
74,17,2.1,2024-04-05,NULL,NULL,NULL,5
75,28,3.8,2024-04-05,NULL,NULL,NULL,2
76,14,2.3,2024-04-05,NULL,NULL,NULL,6
77,5,4.8,2024-04-05,NULL,NULL,NULL,2
78,5,3.5,2024-04-05,NULL,NULL,NULL,1
79,17,4.8,2024-04-05,NULL,NULL,NULL,3
80,7,2.9,2024-04-05,NULL,NULL,NULL,2
81,29,4,2024-04-05,NULL,NULL,NULL,1
82,20,4.2,2024-04-05,NULL,NULL,NULL,2
83,4,2.2,2024-04-05,NULL,NULL,NULL,NULL
84,5,3,2024-04-05,NULL,NULL,NULL,1
85,12,4.2,2024-04-05,NULL,NULL,NULL,NULL
86,10,3,2024-04-05,NULL,NULL,NULL,NULL
87,19,3.4,2024-04-05,NULL,NULL,NULL,NULL
88,19,4.7,2024-04-05,NULL,NULL,NULL,5
89,14,4.4,2024-04-05,NULL,NULL,NULL,2
90,20,4.3,2024-04-05,NULL,NULL,NULL,3
91,9,4.7,2024-04-05,NULL,NULL,NULL,6
92,11,4.2,2024-04-05,NULL,NULL,NULL,NULL
93,18,4.6,2024-04-05,NULL,NULL,NULL,NULL
94,2,3,2024-04-05,NULL,NULL,NULL,NULL
95,13,4,2024-04-05,NULL,NULL,NULL,NULL
96,25,3.5,2024-04-05,NULL,NULL,NULL,3
97,30,3.7,2024-04-05,NULL,NULL,NULL,1
98,10,2.2,2024-04-05,NULL,NULL,NULL,2
99,13,5,2024-04-05,NULL,NULL,NULL,3
100,16,4.2,2024-04-05,NULL,NULL,NULL,4
101,26,2.3,2024-04-05,NULL,NULL,NULL,5
102,29,2.3,2024-04-05,NULL,NULL,NULL,6
103,21,2.2,2024-04-05,NULL,NULL,NULL,NULL
104,23,4.9,2024-04-05,NULL,NULL,NULL,5
105,15,2.8,2024-04-05,NULL,NULL,NULL,NULL
106,25,3.7,2024-04-05,NULL,NULL,NULL,NULL
107,22,4.1,2024-04-05,NULL,NULL,NULL,1
108,19,4.3,2024-04-05,NULL,NULL,NULL,6
109,14,4.4,2024-04-05,NULL,NULL,NULL,4
110,30,2.6,2024-04-05,NULL,NULL,NULL,NULL
111,20,2.9,2024-04-05,NULL,NULL,NULL,3
112,19,3.3,2024-04-05,NULL,NULL,NULL,NULL
113,27,2.6,2024-04-05,NULL,NULL,NULL,3
114,20,3.1,2024-04-05,NULL,NULL,NULL,3
115,15,4.3,2024-04-05,NULL,NULL,NULL,1
116,19,5,2024-04-05,NULL,NULL,NULL,2
117,25,2.6,2024-04-05,NULL,NULL,NULL,3
118,24,2.3,2024-04-05,NULL,NULL,NULL,2
119,11,2.9,2024-04-05,NULL,NULL,NULL,3
120,22,2.8,2024-04-05,NULL,NULL,NULL,4
121,20,2.3,2024-04-05,NULL,NULL,NULL,3
122,25,4.8,2024-04-05,NULL,NULL,NULL,NULL
123,19,4.6,2024-04-05,NULL,NULL,NULL,4
124,17,2.3,2024-04-05,NULL,NULL,NULL,NULL
125,15,2.2,2024-04-05,NULL,NULL,NULL,NULL
126,18,4.9,2024-04-05,NULL,NULL,NULL,2
127,13,3.7,2024-04-05,NULL,NULL,NULL,NULL
128,18,3.1,2024-04-05,NULL,NULL,NULL,NULL
129,6,3.3,2024-04-05,NULL,NULL,NULL,NULL
130,25,3.5,2024-04-05,NULL,NULL,NULL,NULL
131,4,2.6,2024-04-05,NULL,NULL,NULL,NULL
132,18,3.1,2024-04-05,NULL,NULL,NULL,3
133,23,4,2024-04-05,NULL,NULL,NULL,NULL
134,13,4.6,2024-04-05,NULL,NULL,NULL,3
135,2,3.3,2024-04-05,NULL,NULL,NULL,NULL
136,28,3.7,2024-04-05,NULL,NULL,NULL,NULL
137,5,2.3,2024-04-05,NULL,NULL,NULL,2
138,30,4.2,2024-04-05,NULL,NULL,NULL,3
139,5,3.9,2024-04-05,NULL,NULL,NULL,NULL
140,30,4.1,2024-04-05,NULL,NULL,NULL,NULL
141,18,3,2024-04-05,NULL,NULL,NULL,NULL
142,16,2.1,2024-04-05,NULL,NULL,NULL,3
143,21,2.5,2024-04-05,NULL,NULL,NULL,4
144,5,4.3,2024-04-05,NULL,NULL,NULL,NULL
145,14,4.4,2024-04-05,NULL,NULL,NULL,4
146,19,2,2024-04-05,NULL,NULL,NULL,NULL
147,2,4.6,2024-04-05,NULL,NULL,NULL,4
148,7,4.2,2024-04-05,NULL,NULL,NULL,1
149,19,4.6,2024-04-05,NULL,NULL,NULL,NULL
